,Product Name,Reviews,Key Ingredients,Category,Tokens,Product_Sentiments
13,Vitamin C Foaming Face Wash with Vitamin C & Turmeric for Skin Illumination â€“,Nice product,['Vitamin C'],['Face Wash'],['vitamin' 'c' 'foaming' 'face' 'wash' 'vitamin' 'c' 'turmeric' 'skin' 'illumination'],"{'vitamin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'c': {'Positive': 2, 'Negative': 0, 'Neutral': 0}, 'foaming': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'face': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'turmeric': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'illumination': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Vitamin C': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Face Wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Vitamin C Foaming Face Wash with Vitamin C & Turmeric for Skin Illumination â€“': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
18,Onion Hair Mask For Hair Fall Control With Onion Oil and Organic Bamboo Vinegar,The skin plump serum for glowing skin is a boon for my skin. Makes my skin feel smooth and over time I have started noticing that my skinâ€™s texture has become so good.,[],['Hair Oil'],['onion' 'hair' 'mask' 'hair' 'fall' 'control' 'onion' 'oil' 'organic' 'bamboo' 'vinegar'],"{'onion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'mask': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'fall': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'control': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'organic': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'bamboo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'vinegar': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Hair Mask For Hair Fall Control With Onion Oil and Organic Bamboo Vinegar': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 1}}"
20,Argan Conditioner with Argan & Apple Cider Vinegar for FrizzFree and Stronger Hair ,It really worked after first use only. Thanks!! mamaearth,['Argan Oil '],['NA'],['argan' 'conditioner' 'argan' 'apple' 'cider' 'vinegar' 'frizz' 'free' 'strong' 'hair'],"{'argan': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'conditioner': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'apple': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'cider': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'vinegar': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'frizz': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'free': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'strong': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Argan Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'NA': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Argan Conditioner with Argan & Apple Cider Vinegar for FrizzFree and Stronger Hair ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 0, 'Negative': 0, 'Neutral': 1}}"
30,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin,I have seen a change in my skin..it's glowing and clean..use it twice or thrice a day whenever I get time to wash my face. Started using it on my hair too..will definitely post how it's working,['Onion Seed Oil '],['Hair Oil' 'Hair Shampoo'],['onion' 'shampoo' 'hair' 'growth' 'hair' 'fall' 'control' 'onion' 'oil' 'plant' 'keratin'],"{'onion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 2, 'Negative': 0, 'Neutral': 0}, 'growth': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'fall': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'control': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'plant': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'keratin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Seed Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 1}}"
32,Tea Tree Shampoo for Dandruff Free Hair ,Very gentle fragrance. good product for little ones,['Tea Tree Oil ' 'Ginger Oil '],['Hair Shampoo'],['tea' 'tree' 'shampoo' 'dandruff' 'free' 'hair'],"{'tea': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'tree': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'dandruff': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'free': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Ginger Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree Shampoo for Dandruff Free Hair ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 2, 'Negative': 0, 'Neutral': 0}}"
33,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin ,Awesome product â¤ï¸,['Onion Seed Oil '],['Hair Oil' 'Hair Shampoo'],['onion' 'shampoo' 'hair' 'growth' 'hair' 'fall' 'control' 'onion' 'oil' 'plant' 'keratin'],"{'onion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'growth': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'fall': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'control': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'plant': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'keratin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Seed Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
34,Onion Hair Mask For Hair Fall Control With Onion Oil and Organic Bamboo Vinegar,This toothpaste is really awesome. My daughter just loves using it. Best part is that it is made with 100% natural ingredients and toxin free. Overall very good product,['Onion Oil '],['Hair Oil'],['onion' 'hair' 'mask' 'hair' 'fall' 'control' 'onion' 'oil' 'organic' 'bamboo' 'vinegar'],"{'onion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'mask': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'fall': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'control': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'organic': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'bamboo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'vinegar': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Hair Mask For Hair Fall Control With Onion Oil and Organic Bamboo Vinegar': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 4, 'Negative': 0, 'Neutral': 0}}"
35,Tea Tree Conditioner with Tea Tree & Ginger Oil for Dandruff Free Hair,Mamaearth berry blast toothpaste...a big thumbs up...my son like it's taste ..it is made up of 100% natural ingredients and free from fluoride .as it is made up of natural ingredients and no harmful chemicals it safe if kid swallow it..it's a good toothpaste for kids...highly recommended,['Tea Tree Oil '],['Hair Oil'],['tea' 'tree' 'conditioner' 'tea' 'tree' 'ginger' 'oil' 'dandruff' 'free' 'hair'],"{'tea': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'tree': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'conditioner': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'ginger': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'dandruff': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'free': {'Positive': 1, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree Conditioner with Tea Tree & Ginger Oil for Dandruff Free Hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
37,Hair Regrowth Combo : Onion Shampoo and Onion Conditioner,Berry flavoured blast that the kids just love! And the best part is that its perfectly fine if they swallow it too! Made with 100% safe ingredients this should be the toothpaste you should introduce your kids to!,['Onion Seed Oil '],['Hair Shampoo'],['hair' 'regrowth' 'combo' 'onion' 'shampoo' 'onion' 'conditioner'],"{'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'regrowth': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'combo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'onion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'conditioner': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Seed Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Regrowth Combo : Onion Shampoo and Onion Conditioner': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 3, 'Negative': 0, 'Neutral': 0}}"
38,OilFree Face Moisturizer for AcneProne Skin,I m writing this review after few useges and I m absolutely in love with it ..it made my my hair look so volumeness and long which is not often in normal circumstances.frizzyness will be further reduced after few usages.so you need to be patient in that.it is a very safe products for you hair and scalp and you must own it..,['Apple Cider Vinegar ' 'Cetearyl Octanoate ' 'Betaine ' 'Fatty Acids '],['NA'],['oil' 'free' 'face' 'moisturizer' 'acne' 'prone' 'skin'],"{'oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'free': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'face': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'moisturizer': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'acne': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'prone': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Apple Cider Vinegar ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Cetearyl Octanoate ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Betaine ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Fatty Acids ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'NA': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'OilFree Face Moisturizer for AcneProne Skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
39,Ultra Light Indian Sunscreen with Carrot Seed Turmeric & SPF 50 PA+++ ,I love this roll on and It's a mist have for all moms. This helps in easy breathings especially when kids get troubled while they sleep. It's safe so I recommend to all. Easy to use and a wonderful product.,['Carrot Seed Oil '],['NA'],['ultra' 'light' 'indian' 'sunscreen' 'carrot' 'seed' 'turmeric' 'spf' '50' 'pa+++'],"{'ultra': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'light': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'indian': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'sunscreen': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'carrot': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'seed': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'turmeric': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'spf': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, '50': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'pa+++': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Carrot Seed Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'NA': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Ultra Light Indian Sunscreen with Carrot Seed Turmeric & SPF 50 PA+++ ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 4, 'Negative': 0, 'Neutral': 0}}"
42,Ubtan Face Wash for Tan Removal,I am using the all of products of mamaearth...lotion is verry good moisturizer and its smel so nyc...I m using this product my new born baby and also my 10 yrs old boy...too good,['Turmeric ' 'Walnut Beads ' 'Licorice Extract ' 'Carrot Oil '],['Face Wash'],['ubtan' 'face' 'wash' 'tan' 'removal'],"{'ubtan': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'face': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'tan': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'removal': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Turmeric ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Walnut Beads ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Licorice Extract ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Carrot Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Face Wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Ubtan Face Wash for Tan Removal': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
